ray_id,x,y,z
31,-0.999,-0.979615,-0.28603
32,0.999,-0.695794,-0.90829
33,0.180805,-0.465862,0.999
34,-0.999,-0.459972,0.641312
35,-0.73349,0.124753,0.999
36,0.980227,0.399341,0.999
37,-0.999,-0.016367,0.275897
38,-0.636441,-0.970558,0.999
39,-0.774984,0.999,-0.138173
40,-0.681013,0.874846,0.999
41,-0.688835,0.999,0.58713
42,0.880793,-0.0236841,0.999
43,0.461392,0.393096,0.999
44,0.999,-0.394945,0.9398
45,0.442985,0.999,0.460568
46,0.535544,0.045119,-0.999
47,0.786293,-0.0598174,-0.999
48,0.600524,0.547355,-0.999
49,-0.999,-0.20333,-0.27403
50,-0.999,0.187146,0.0270303
51,0.184864,-0.763268,0.999
52,0.74509,0.840968,-0.999
53,-0.610525,-0.999,0.532637
54,-0.85833,-0.954775,-0.999
55,-0.936329,-0.999,0.597278
56,0.999,0.594098,-0.788388
57,-0.51857,-0.0996134,0.999
58,-0.999,0.125834,-0.483843
59,-0.564914,-0.999,-0.215793
60,0.838467,0.999,-0.757731
61,-0.999,-0.129037,-0.504895
62,0.53675,-0.999,0.448746
63,-0.999,-0.484055,-0.372172
0,0.999,-0.838757,-0.349374
1,-0.999,-0.29776,0.915818
2,-0.770675,-0.0696184,0.999
3,-0.752272,-0.893205,0.999
4,-0.0509434,-0.724908,-0.999
5,0.999,-0.990731,0.368332
6,-0.479468,-0.464634,-0.999
7,-0.936021,0.999,0.672858
8,0.999,0.89296,-0.948336
9,-0.863136,0.999,-0.407426
10,0.0284647,-0.999,0.391088
11,-0.999,0.654382,-0.811872
12,0.62877,-0.526272,-0.999
13,-0.727433,-0.74938,0.999
14,-0.165553,-0.922674,-0.999
15,0.872049,-0.938455,0.999
16,-0.999,-0.203813,-0.735177
17,-0.416467,-0.999,-0.618719
18,0.0714608,0.999,0.182963
19,0.999,0.788017,-0.902419
20,0.757382,-0.999,0.35269
21,-0.90853,0.305783,-0.999
22,-0.999,0.34199,-0.270074
23,-0.999,-0.455338,-0.852819
24,-0.999,0.74882,-0.62427
25,0.999,0.54124,-0.820019
26,0.0795922,-0.999,0.608718
27,0.190797,0.999,0.16279
28,-0.98628,0.690182,-0.999
29,-0.175418,-0.999,0.270943
30,0.999,-0.800254,-0.302725
31,-0.951114,-0.999,-0.246946
32,0.715223,-0.843859,-0.999
33,0.20244,-0.999,-0.316642
34,-0.947347,-0.999,0.880945
35,-0.464827,0.999,-0.910822
36,0.309648,0.932276,-0.999
37,0.999,-0.464201,-0.551191
38,-0.999,-0.27716,0.0337632
39,-0.999,0.431428,0.337074
40,-0.304472,-0.588522,-0.999
41,-0.999,0.89155,0.464924
42,-0.999,-0.0299446,-0.850547
43,0.060922,0.999,0.926656
44,-0.999,-0.926904,0.260237
45,-0.999,-0.299528,-0.45849
46,0.210349,0.94354,0.999
47,-0.143845,0.999,-0.463663
48,-0.154429,0.224786,0.999
49,0.529741,-0.577585,-0.999
50,0.204713,-0.124552,-0.999
51,0.0946649,-0.999,0.551715
52,0.572487,0.999,-0.834741
53,-0.879713,-0.0710072,0.999
54,-0.709614,-0.999,-0.4782
55,-0.999,-0.115394,0.773827
56,0.0125264,0.6392,-0.999
57,0.999,0.286128,-0.0160293
58,-0.284032,-0.999,-0.267099
59,0.157067,0.0520836,0.999
60,-0.999,-0.284774,-0.438901
61,0.999,0.158639,-0.582568
62,0.355478,0.116215,0.999
63,0.0365618,-0.999,-0.645126
0,0.924613,-0.999,-0.324822
1,-0.87913,-0.200123,0.999
2,-0.873429,0.187624,-0.999
3,-0.798864,-0.999,0.969585
4,0.666671,-0.493266,0.999
5,0.986,-0.999,0.357874
6,-0.536987,-0.999,0.559843
7,0.999,0.1766,-0.787153
8,-0.332967,-0.999,-0.1356
9,-0.999,0.689438,-0.362615
10,-0.853605,0.999,-0.410403
11,-0.396911,0.296809,-0.999
12,0.999,-0.667758,-0.49497
13,0.999,0.970859,-0.63941
14,-0.999,-0.985992,-0.656013
15,0.982612,-0.999,0.936687
16,0.999,-0.542694,-0.54075
